municipio,quarter,fecha,total_pixeles_median,suma_rad_trend_sum,suma_rad_trend_mean,suma_rad_trend_std,suma_rad_trend_median,media_rad_trend_mean,std_rad_trend_mean,max_rad_trend_max,min_rad_trend_min,p25_rad_trend_mean,mediana_rad_trend_mean,p75_rad_trend_mean,entidad_federativa,porc_pob,pibe,pib_mun
oaxaca de juarez,2012Q1,2012-03-31,159.0,2887180.217900676,43092.242058219046,21.88014109709595,43093.05630494373,271.0203903032642,128.0981316025637,762.6750334426116,62.26623829712372,198.6737654509141,246.73667784799457,311.49944766382885,OAX,0.06557243351,"239,680.2",15984.537542378308
oaxaca de juarez,2012Q2,2012-06-30,159.0,3869131.48327401,42990.34981415567,38.05453754628889,42991.77556419214,270.3795585795951,128.8686526419173,762.6025036882094,61.96925130894944,197.24214116464606,244.86954440867663,310.4191352727014,OAX,0.06557243351,"246,985.2",16217.769535350662
oaxaca de juarez,2012Q3,2012-09-30,159.0,3940869.6959640505,42835.54017352229,53.023466207719764,42838.134125830235,269.4059130410205,129.39775982666532,761.3553928011121,61.48899856203725,195.350220863117,242.58483010950758,309.0246123742922,OAX,0.06557243351,"254,789.0",16376.090807232491
oaxaca de juarez,2012Q4,2012-12-31,159.0,3920934.725943278,42618.855716774764,74.0807687791806,42622.799882246094,268.04311771556434,129.477753964976,758.1225472608841,60.77998089545448,193.14989425769,240.06159944869768,307.3057796971687,OAX,0.06557243351,"259,484.5",16463.61229311134
oaxaca de juarez,2013Q1,2013-03-31,159.0,3795092.1386574325,42167.69042952703,207.13315988462176,42180.303313004915,265.2056001857044,127.93476098772126,752.9697390301154,58.55716471845686,189.67300772186394,236.6710260101495,304.3639009733892,OAX,0.06557243351,"245,516.0",16483.367404451357
oaxaca de juarez,2013Q2,2013-06-30,159.0,3764322.1298294165,41366.17725087271,247.44691094454691,41366.696595193185,260.16463679794145,123.35882803175504,733.4544432979061,56.359632764629076,184.93496521056332,232.87798378789768,299.89537298439103,OAX,0.06557243351,"247,289.1",16470.24719300929
oaxaca de juarez,2013Q3,2013-09-30,159.0,3722560.471597348,40462.6138217103,286.1870172388962,40471.02494846972,254.48184793528495,117.76072834646997,709.2196687276878,54.38235908910752,180.60578630851754,229.4883016367106,295.0827745354376,OAX,0.06557243351,"251,166.6",16485.73807161791
oaxaca de juarez,2013Q4,2013-12-31,159.0,3592669.5221090303,39479.88485834099,266.3242459955346,39469.21750146688,248.3011626310755,112.46380271542958,686.0570691941602,52.3784257617485,176.3093157358765,225.69357309188095,289.59709251561645,OAX,0.06557243351,"259,318.5",16548.678121049474
oaxaca de juarez,2014Q1,2014-03-31,159.0,3483616.7634636806,38706.85292737423,184.33742065905352,38697.612803602184,243.43932658725942,107.95053207867576,664.8983172632683,51.00545277372189,173.26521176292937,222.6878140518847,285.361987720072,OAX,0.06557243351,"250,239.1",16634.536042372692
oaxaca de juarez,2014Q2,2014-06-30,159.0,3470135.8696982195,38133.36120547494,162.42914665201903,38139.56429961505,239.83246041179203,104.43240602050612,646.3973419400836,49.95932215225198,171.5114336486942,220.10775752079144,282.4540048057771,OAX,0.06557243351,"249,522.3",16732.984816480202
