fecha,municipio,entidad_federativa,porc_pob,pibe,pib_mun,year_pib,total_pixeles,suma_rad_trend,media_rad_trend,std_rad_trend,max_rad_trend,min_rad_trend,p25_rad_trend,mediana_rad_trend,p75_rad_trend,year_radianza
2012-03-31,azcapotzalco,CDMX,0.04844968174,2633934.6,123174.5839800584,2012,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-06-30,azcapotzalco,CDMX,0.04844968174,2438708.1,123818.55716425276,2012,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-09-30,azcapotzalco,CDMX,0.04844968174,2592835.4,124559.77915525668,2012,134,52018.060273972595,388.194479656512,72.28700757636537,612.3945205479453,238.66575342465757,339.1061643835617,379.172602739726,428.0554794520548,2012
2012-12-31,azcapotzalco,CDMX,0.04844968174,2598596.7,125046.71299164821,2012,134,49675.72328767124,370.71435289306885,68.34965862502774,586.4630136986301,229.34794520547945,324.5828767123287,362.8191780821918,408.591095890411,2012
2013-03-31,azcapotzalco,CDMX,0.04844968174,2673066.3,125754.53316643953,2013,134,49423.676712328765,368.8334083009611,67.85587600605955,583.8438356164382,229.36712328767118,322.90205479452055,361.0643835616438,406.1938356164384,2013
2013-06-30,azcapotzalco,CDMX,0.04844968174,2479978.8,126383.86182870697,2013,134,50759.47123287671,378.8020241259456,70.887901090636,607.0356164383562,234.32328767123292,331.4479452054795,370.11506849315066,416.5821917808218,2013
2013-09-30,azcapotzalco,CDMX,0.04844968174,2668439.8,127012.47161882157,2013,134,48763.65479452055,363.9078716008995,67.01592333795163,577.8410958904111,230.67671232876717,319.1698630136986,355.19315068493154,399.4130136986302,2013
2013-12-31,azcapotzalco,CDMX,0.04844968174,2626906.9,127609.05192995889,2013,134,45336.205479452045,338.3298916377018,61.94721743249066,530.5917808219177,216.84657534246574,296.3465753424659,330.5986301369864,371.7643835616438,2013
2014-06-30,azcapotzalco,CDMX,0.04844968174,2503000.3,128204.65658563017,2014,134,48281.71506849315,360.31130648129204,67.80568796312423,557.7205479452057,224.40547945205483,313.77054794520546,352.3438356164384,399.01575342465753,2014
2014-09-30,azcapotzalco,CDMX,0.04844968174,2686402.8,129177.52316686424,2014,134,49486.27397260273,369.30055203434875,68.53535437088954,554.7424657534249,228.06027397260277,321.427397260274,363.3465753424657,411.6109589041096,2014
2014-12-31,azcapotzalco,CDMX,0.04844968174,2666305.5,130421.8963139801,2014,134,49240.5589041096,367.4668574933552,66.24170584132389,542.1260273972603,229.72876712328767,320.4890410958904,363.22054794520557,409.89383561643837,2014
2015-03-31,azcapotzalco,CDMX,0.04844968174,2869792.9,131327.00359281673,2015,134,53588.22739726028,399.91214475567375,71.67633382717909,587.1835616438354,249.34520547945215,349.0171232876712,396.74246575342465,446.68150684931516,2015
2015-09-30,azcapotzalco,CDMX,0.04844968174,2751624.2,132728.63047757713,2015,134,60841.94520547945,454.0443672050705,80.45144205441134,655.9068493150686,278.78904109589047,397.2760273972603,453.8739726027398,509.00342465753414,2015
2015-12-31,azcapotzalco,CDMX,0.04844968174,2705692.6,133532.99996689789,2015,134,57967.66301369864,432.59450010222866,74.21069667232373,620.6520547945205,270.33972602739726,380.3390410958904,433.0712328767124,483.58287671232875,2015
2016-03-31,azcapotzalco,CDMX,0.04844968174,2957233.6,133963.92173185083,2016,134,56772.865753424674,423.6781026374975,74.56524239222094,613.0602739726028,261.9616438356165,371.08561643835617,424.2684931506849,474.88698630137,2016
