fecha,municipio,entidad_federativa,pib_mun,pib_interp,pib_nn,total_pixeles,suma_rad_trend,media_rad_trend,std_rad_trend,max_rad_trend,min_rad_trend,p25_rad_trend,mediana_rad_trend,p75_rad_trend,year
2012-01-19,azcapotzalco,CDMX,,123174.5839800584,123174.5839800584,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-01-20,azcapotzalco,CDMX,,123174.5839800584,123174.5839800584,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-01-21,azcapotzalco,CDMX,,123174.5839800584,123174.5839800584,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-01-22,azcapotzalco,CDMX,,123174.5839800584,123174.5839800584,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-01-23,azcapotzalco,CDMX,,123174.5839800584,123174.5839800584,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-01-24,azcapotzalco,CDMX,,123174.5839800584,123174.5839800584,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-01-25,azcapotzalco,CDMX,,123174.5839800584,123174.5839800584,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-01-26,azcapotzalco,CDMX,,123174.5839800584,123174.5839800584,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-01-27,azcapotzalco,CDMX,,123174.5839800584,123174.5839800584,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-01-28,azcapotzalco,CDMX,,123174.5839800584,123174.5839800584,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-01-29,azcapotzalco,CDMX,,123174.5839800584,123174.5839800584,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-01-30,azcapotzalco,CDMX,,123174.5839800584,123174.5839800584,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-01-31,azcapotzalco,CDMX,,123174.5839800584,123174.5839800584,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-02-01,azcapotzalco,CDMX,,123174.5839800584,123174.5839800584,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-02-02,azcapotzalco,CDMX,,123174.5839800584,123174.5839800584,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
2012-02-03,azcapotzalco,CDMX,,123174.5839800584,123174.5839800584,134,52290.68767123288,390.22901247188713,72.11596836142337,608.8657534246576,240.8849315068493,340.9034246575343,381.91780821917814,430.82260273972605,2012
